id,phase,area,file_or_module,task,priority,acceptance,status,notes,commit_sha,evidence
AT-001,设计,账号分类,src/autoteam/account_models.py,新增四轴状态枚举 registration_status health_status usage_status team_status,P0,状态枚举集中定义且旧 status 可兼容,done,7 tests pass; uv run pytest + import smoke OK,e69d9b9,tests/unit/test_account_models.py 7 passed in 0.44s
AT-002,设计,账号分类,src/autoteam/account_classifier.py,实现 classify_account 统一分类函数,P0,同一账号可稳定计算 registered inventory in_use invalid sold,done,13 tests pass; AT-001 regression OK; sold-priority + quota-not-invalid covered,e6ee9d4,tests/unit/test_account_classifier.py 13 passed; test_account_models.py 7 passed
AT-003,数据清理,备份,src/autoteam/account_cleaner.py,实现 accounts.json 自动备份,P0,apply 前生成带时间戳 bak 文件,done,BACKUP_TAG + backup_accounts_file with shutil.copy2 + injectable now; 4 tests,9249272,tests/unit/test_account_cleaner.py 4 passed; phase1 regression 29 passed
AT-004,数据清理,扫描,src/autoteam/account_cleaner.py,实现 dry-run 扫描重复邮箱 缺文件 错误 auth 类型,P0,返回 JSON 报告和 CSV 报告,done,scan_accounts/format_scan_report_csv/write_scan_reports 追加到 cleaner; 混合提交，与 AT-007 共享 e43353e,e43353e,uv run pytest tests/unit/test_account_cleaner.py -q -> 6 passed
AT-005,数据清理,去重,src/autoteam/account_cleaner.py,实现邮箱 lowercase 和重复账号合并,P0,重复邮箱合并不丢密码 RT session cpa 字段,done,pick_primary_account/merge_account_pair/dedupe_accounts 追加; clean commit,35dabc2,uv run pytest tests/unit/test_account_cleaner.py -q -> 12 passed
AT-006,数据清理,认证文件,src/autoteam/account_credentials.py,识别 session oauth_rt main invalid_json 文件类型,P0,session 文件不会被当成 CPA 上传文件,done,identify_credential_file with 6 types (missing/main_auth/session/oauth_rt/invalid_json/unknown); 8 tests,90700f3,tests/unit/test_account_credentials.py 8 passed; phase1 regression 29 passed
AT-007,数据清理,认证迁移,src/autoteam/account_credentials.py,把可上传 OAuth 文件迁移到 rt_auth_file,P0,旧 auth_file 含 refresh_token 时能兼容迁移,done,"migrate_account_credentials/migrate_accounts_credentials 已落地; 因 AT-004 commit 已带入,无独立 commit",e43353e,uv run pytest tests/unit/test_account_credentials.py -q -> 15 passed
AT-008,数据清理,分类重算,src/autoteam/account_cleaner.py,清理后统一重算 category usage_status health_status,P0,库存和已售不会冲突,done,reclassify_accounts/cleanup_accounts 流水线; 串联 migrate+dedupe+classify+scan,a4f69d6,uv run pytest tests/unit/test_account_cleaner.py -q -> 16 passed; 回归 44 passed
AT-009,账号模型,母号,src/autoteam/account_admin.py,母号登记模型独立 role=main,P0,母号不出现在库存和已售操作中,done,account_admin.py + 守门 invariants; 混合 commit 也带入 AT-011,6861a8f,uv run pytest tests/unit/test_account_admin.py -q -> 7 passed
AT-010,账号模型,母号,src/autoteam/account_admin.py,登录后保存 session cookie 摘要和主号 auth 文件引用,P0,UI 可显示母号 session 和 Codex 状态,done,summarize_session_cookie/record_main_session/record_main_codex_auth 追加,4ef9e5e,uv run pytest tests/unit/test_account_admin.py -q -> 14 passed
AT-011,邮箱,MoEmail,src/autoteam/account_email_allocator.py,新增 50 个一组的邮箱前缀分配器,P0,第 51 个账号自动换新随机前缀,done,EmailGroupAllocator 50/group 轮换; 随 AT-009 commit 6861a8f 落地,6861a8f,uv run pytest tests/unit/test_account_email_allocator.py -q -> 6 passed
AT-012,邮箱,MoEmail,src/autoteam/mo_email.py,支持 MO_EMAIL_NAME_PATTERN 配置,P1,兼容 prefix-index 和 prefixindex,done,format_email_name + MO_EMAIL_NAME_PATTERN 环境变量; clean commit,3217cec,uv run pytest tests/unit/test_mo_email_name_pattern.py -q -> passed
AT-013,注册流程,账号写入,src/autoteam/cpa_batch.py,注册成功后写 registration_status=registered,P0,批量任务成功账号都有注册生命周期字段,done,mark_registered/registered_kwargs + cpa_batch.py 注册成功钩点; 含运行时 RT_STATUS_SUCCESS=registered 兼容补丁,78cd46c,uv run pytest -k cpa_batch -> 60 passed; lifecycle 5 passed
AT-014,注册流程,RT 提取,src/autoteam/cpa_batch.py,RT 提取成功后写 credentials.oauth_rt 和 rt_obtained_at,P0,账号详情可看到 RT 文件状态,done,record_rt_obtained/rt_obtained_kwargs + cpa_batch.py:820 RT 落盘钩点,9c76639,uv run pytest tests/unit/test_account_lifecycle.py -q -> 9 passed; cpa_batch 60 passed
AT-015,CPA,入库,src/autoteam/cpa_batch.py,CPA 上传成功后统一调用 mark_inventory,P0,cpa_status success 后自动进入库存,done,mark_inventory/inventory_kwargs + cpa_batch.py:1235 CPA 成功钩点; 守门 main/sold,1a3620c,uv run pytest lifecycle -> 15 passed; cpa_batch -> 60 passed
AT-016,Sub2API,远端状态,src/autoteam/account_remote.py,记录 sub2api present missing failed 状态,P1,账号详情可看到 Sub2API 同步状态,done,set_remote_status/get_remote_status/summarize_remote/apply_disabled_status,50a8c9a,uv run pytest tests/unit/test_account_remote.py -q -> 9 passed
AT-017,库存,分配,src/autoteam/account_inventory.py,实现 allocate_account,P0,库存账号可标记为正在使用并生成 allocation_id,done,新模块 9 守门 + force=True 重分配,22473ce,unit 10 pass + 110 regression
AT-018,库存,释放,src/autoteam/account_inventory.py,实现 release_account,P1,使用中账号可释放回库存且保留事件日志,done,追加 release_account allocation.released_at + release_reason 保留 allocation_id,9031245,unit 17 pass + 451 全量回归
AT-019,售卖,售卖,src/autoteam/account_inventory.py,实现 sell_account,P0,售卖后 usage_status=sold sync_disabled=true,done,追加 sell_account 强制 sync_disabled=True 不看 health 幂等保留 sale.sold_at,fedbf87,unit 24 pass + 458 全量回归
AT-020,售卖,保护,src/autoteam/sync_targets.py,确保 sold/sync_disabled 账号不上传不更新,P0,自动同步跳过已售账号,done,追加 should_sync_account/account_skip_reason/filter_sync_eligible,66377d1,unit 7 pass + 110 + 58 sync regression
AT-021,失效,健康检查,src/autoteam/account_health.py,统一处理 401 auth_error deactivated,P0,401 写 health_status=invalid,done,新模块 mark_invalid/mark_deactivated 含库存→normal 降级,e4c663c,unit 9 pass + 110 regression
AT-022,失效,额度区分,src/autoteam/account_health.py,区分 quota_exhausted 和 invalid,P0,额度耗尽账号不会进入失效页,done,追加 mark_quota_exhausted/is_quota_exhausted 不动 sync_disabled 不降级库存,b544e7f,unit 14 pass + 122 regression
AT-023,API,查询,src/autoteam/api.py,新增 GET /api/accounts 支持 category q page sort,P0,前端可分页筛选五类账号,done,替换 get_accounts 加入 category/q/page/page_size/sort 校验 + 分页响应,3d5bf5a,unit 12 + 70 regression
AT-024,API,详情,src/autoteam/api.py,新增 GET /api/accounts/{email},P0,返回账号基础信息 认证 远端 分配 事件,done,聚合视图 credentials/remote/allocation/sale/health 主号特殊处理,467a16f,unit 7 + 107 regression
